GroupID,Y-Val-WaterPct,1595.724,1604.432,1613.131,1621.821,1630.502,1639.173,1647.834,1656.486,1665.127,1673.759,1682.38,1690.991,1699.592,1708.182,1716.761,1725.329,1733.887,1742.433,1750.968,1759.492,1768.004,1776.505,1784.994,1793.471,1801.937,1810.39,1818.832,1827.261,1835.678,1844.082,1852.474,1860.854,1869.221,1877.575,1885.916,1894.245,1902.56,1910.862,1919.151,1927.427,1935.689,1943.938,1952.174,1960.396,1968.604,1976.798,1984.979,1993.146,2001.298,2009.437,2017.561,2025.671,2033.767,2041.848,2049.915,2057.967,2066.004,2074.027,2082.035,2090.028,2098.005,2105.968,2113.916,2121.848,2129.765,2137.666,2145.552,2153.422,2161.276,2169.115,2176.937,2184.743,2192.533,2200.307,2208.065,2215.806,2223.53,2231.238,2238.929,2246.603,2254.26,2261.899,2269.521,2277.126,2284.713,2292.283,2299.834,2307.368,2314.884,2322.381,2329.859,2337.32,2344.761,2352.183,2359.587,2366.971,2374.336,2381.681,2389.006,2396.312
a,0.007487559,0,0.008033514,0.01250398,0.01168453,0.01480198,0.03332746,0.04465341,0.01415096,-0.01656449,-0.01824498,-0.01884102,-0.01169443,0.001595022,0.00938201,0.006482478,-0.003104569,-0.005628466,-0.001583933,0.003125907,0.004028439,0.000134467,-0.001439571,0.000430942,0.001712084,0.002585054,0.003255486,0.003753066,0.003805041,0.003325939,0.003527523,0.004139542,0.003707886,0.002782583,0.002439022,0.003171444,0.004372954,0.005520105,0.006448507,0.003591536,-0.000204563,-0.000737429,-0.000668526,-0.000414967,-0.000129581,0.000466585,0.00127399,0.001123547,0.000533462,-8.75E-05,-0.000326991,0.000327468,0.001160502,0.00150001,0.002198935,0.003940464,0.006123544,0.006112933,0.005003452,0.007640363,0.007747529,0.001289485,-0.001622915,0.004614593,0.01918305,0.02602243,0.003862374,-0.01450193,-0.007361408,-0.002884984,-0.00368607,0.002789978,0.01186597,0.008509038,0.000555992,0.000248075,0.00189662,0.001804947,0.005194903,0.01823604,0.02752602,0.009364955,-0.01299858,-0.008862849,0.001063467,3.25E-05,-0.000792622,0.001463413,0.004300953,0.007410049,0.004695056,-0.003725054,-0.005939482,9.12E-05,0.00739801,0.01080382,0.006994962,0.001628397,0.003347517,0.02186847,0
b,0.018529106,0,0.008568526,0.01307094,0.01196539,0.0153985,0.03517295,0.04688048,0.015213,-0.01714337,-0.01924848,-0.01950646,-0.0121535,0.001734974,0.009945036,0.006816981,-0.003459098,-0.006142019,-0.001355527,0.003584982,0.004192948,0.000327943,-0.001413583,0.000411034,0.001904011,0.002632976,0.003024458,0.003584981,0.003626465,0.003398538,0.004190445,0.004890918,0.004510998,0.004300475,0.004528522,0.006175638,0.008802056,0.01038504,0.01065755,0.006997106,0.001762866,-0.001060963,-0.001819014,-0.001730919,-0.001710892,-0.001188874,-0.000490427,-0.000776649,-0.001150012,-0.001367569,-0.001578092,-0.000606417,0.000410319,0.000764132,0.001642585,0.003580093,0.005852819,0.006101011,0.005093574,0.007784487,0.007811069,0.001473545,-0.001459002,0.004323842,0.01901245,0.02646565,0.004134052,-0.01506054,-0.007683991,-0.003003002,-0.003214001,0.003261449,0.01200795,0.008590454,0.000148415,-9.21E-05,0.000877023,0.001448035,0.005414487,0.0174855,0.02745199,0.009929888,-0.01248408,-0.007967468,0.001383543,-0.000393631,-0.001183509,0.002019406,0.004683495,0.00695014,0.004132745,-0.003412724,-0.005833387,0.00034404,0.008340599,0.01068687,0.006249902,0.001101493,0.004307033,0.02114296,0
c,0.020662503,0,0.008961439,0.01373744,0.01245797,0.01600099,0.03626455,0.04810047,0.01556645,-0.01753747,-0.01967192,-0.02029348,-0.01273298,0.001868965,0.01022601,0.006987093,-0.003440978,-0.00629556,-0.001533507,0.003791452,0.00447905,0.00033152,-0.001314997,0.000522018,0.001802445,0.002744555,0.003445506,0.004106402,0.004067898,0.00337851,0.004086495,0.004871606,0.004641533,0.003940463,0.004276037,0.006415486,0.008700967,0.0101819,0.0103184,0.006582974,0.00160539,-0.000557065,-0.001864434,-0.002413511,-0.001855015,-0.001224637,-0.00067842,-0.000340819,-0.000660062,-0.001378417,-0.001646995,-0.001099944,-2.10E-05,0.000930905,0.001433968,0.00306356,0.005862951,0.006181359,0.005044937,0.00780058,0.007585405,0.000963925,-0.001623391,0.004975082,0.01956642,0.02626896,0.003790848,-0.01496851,-0.007911559,-0.003791094,-0.003248095,0.003289105,0.01121557,0.008432508,7.87E-06,-0.000765085,0.001576901,0.002285004,0.005805136,0.01793802,0.02751195,0.009788975,-0.01368106,-0.008898016,0.002205134,0.000550984,-0.000863432,0.001074553,0.003563047,0.007514954,0.005308624,-0.003160479,-0.005681395,0.000605465,0.007113458,0.009902953,0.007006644,0.001223086,0.004537584,0.02135086,0
d,0.024081288,0,0.008905531,0.01418948,0.01319492,0.01689303,0.0386535,0.05173397,0.01681207,-0.01888001,-0.02107346,-0.02193904,-0.01380753,0.001965407,0.01088142,0.007500526,-0.003651978,-0.006538986,-0.001551149,0.003961564,0.00468397,0.000347375,-0.001436948,0.00045085,0.00199163,0.003025412,0.003757,0.004450917,0.004377484,0.003983974,0.00464642,0.005153537,0.00495243,0.004813433,0.005487919,0.007742047,0.01074958,0.01207697,0.01160753,0.00742793,0.001556993,-0.001045942,-0.002044439,-0.002467394,-0.002473593,-0.001893997,-0.000796556,-0.000776053,-0.001346469,-0.001818538,-0.002056479,-0.000988364,-8.89E-05,0.000368595,0.001514912,0.003311992,0.005821943,0.006150959,0.005191088,0.008669377,0.008716462,0.000895975,-0.001733899,0.00549555,0.02135802,0.02853846,0.004106387,-0.01623512,-0.008693095,-0.004271031,-0.004599451,0.003355984,0.01275158,0.008955,-0.000195623,-0.000350951,0.000836015,0.001541973,0.006683947,0.02010394,0.0306325,0.01102804,-0.01397729,-0.009337898,0.001499415,0.00031042,-0.00082755,0.001753569,0.004395963,0.007918597,0.005273817,-0.003926041,-0.005696055,0.000433446,0.008020164,0.01193237,0.007381437,0.001458882,0.004768612,0.02268982,0
e,0.040838679,0,0.009032489,0.01408804,0.01340043,0.01738704,0.0397625,0.0536685,0.01750551,-0.01994753,-0.02246117,-0.02284884,-0.01412904,0.002193455,0.01140797,0.007715937,-0.003870012,-0.006839513,-0.00143349,0.004351497,0.004960059,0.000329016,-0.001533508,0.000355006,0.001995087,0.002932548,0.003710032,0.004565954,0.004433393,0.004043459,0.004992961,0.005705952,0.005993485,0.006688476,0.008245945,0.0119499,0.01561451,0.01578915,0.01386309,0.008830901,0.002010105,-0.001361966,-0.003055454,-0.003831029,-0.003484607,-0.003072142,-0.002173543,-0.002223373,-0.002699971,-0.002629518,-0.002981424,-0.002377391,-0.001048088,-0.000334978,0.000412584,0.002465487,0.005370022,0.005908488,0.005252957,0.008061052,0.008189558,0.00091159,-0.002234816,0.005226495,0.02099431,0.02894497,0.004584298,-0.01665997,-0.009201644,-0.004895449,-0.004794477,0.003940823,0.0125345,0.00800466,-0.000476122,-9.78E-05,0.002240419,0.001600981,0.006345036,0.02094603,0.03070497,0.01002907,-0.01531625,-0.009447094,0.002326012,0.001360176,-0.000643015,0.001343966,0.00518036,0.008464098,0.005615471,-0.003973249,-0.005406614,0.001776935,0.00785041,0.01129651,0.006175037,0.00155592,0.006885054,0.02131939,0
f,0.073913859,0,0.007631541,0.0126915,0.012146,0.01601195,0.038028,0.05181491,0.01696907,-0.01919603,-0.02175152,-0.02214646,-0.0138725,0.001767995,0.01091552,0.007681606,-0.003431918,-0.006307482,-0.001164554,0.00451994,0.005066156,0.000697493,-0.001304984,0.000182868,0.001850963,0.002808571,0.003446102,0.003997445,0.004294514,0.004220963,0.005271554,0.007090569,0.00871253,0.01116502,0.01579392,0.02233005,0.02572763,0.02300763,0.01755261,0.0100131,0.002237081,-0.002367497,-0.004968882,-0.005963564,-0.006163359,-0.006016969,-0.005264521,-0.00523448,-0.005287885,-0.005201578,-0.005500317,-0.004678607,-0.003394007,-0.00229597,-0.001117944,0.000697017,0.003736496,0.004136085,0.003311515,0.006448627,0.0064373,-9.16E-05,-0.002757072,0.004217867,0.0200274,0.02762842,0.003534548,-0.01687598,-0.009097096,-0.004573108,-0.004392861,0.003328564,0.01106811,0.007523058,0.000104189,1.62E-05,0.001694679,0.001686811,0.006160023,0.02010203,0.0296855,0.0108385,-0.01415467,-0.009257309,0.002403259,0.000204324,-0.001090764,0.00214839,0.005422116,0.007475614,0.005215643,-0.002077105,-0.004671572,0.000847102,0.008068325,0.01207209,0.006885527,0.001827002,0.005915643,0.02145052,0
a,0.007487559,0,0.008261444,0.01261592,0.01144659,0.01445389,0.03269351,0.04300999,0.01409256,-0.01556909,-0.01772809,-0.01818252,-0.01131844,0.001662495,0.008979918,0.006273028,-0.00311196,-0.005620001,-0.00141251,0.003177524,0.003791451,0.000264525,-0.001394033,0.000161052,0.00175798,0.002489448,0.00299406,0.003432035,0.003263473,0.002967953,0.003711939,0.003997445,0.003702998,0.00306046,0.002431035,0.003117085,0.004469514,0.005945444,0.00671792,0.004280447,0.000406503,-0.000889063,-0.000885487,-0.000620603,-0.000272036,0.000330568,0.001061082,0.000857472,0.000273585,-0.000176907,-0.000299573,0.000640989,0.001486063,0.001782537,0.002176046,0.003641963,0.005939483,0.0058465,0.004935026,0.007577538,0.007472991,0.001423954,-0.001149535,0.003936411,0.01700354,0.02376747,0.003496401,-0.01336395,-0.007114051,-0.003598452,-0.002817511,0.00382209,0.01104403,0.007650135,0.00041902,0.00045383,0.001576543,0.001253008,0.004530312,0.01651466,0.02552497,0.008858912,-0.01203513,-0.008279437,0.0010916,0.000505566,-0.00051248,0.001129031,0.003566981,0.006977439,0.004066584,-0.004065039,-0.005658625,0.00094998,0.006918669,0.009603381,0.006925819,0.000528572,0.003926877,0.02007341,0
b,0.018529106,0,0.009760499,0.01508701,0.01352501,0.01713002,0.03875053,0.05095803,0.01700447,-0.01810741,-0.02085197,-0.02137995,-0.01343453,0.001809957,0.01076746,0.007515067,-0.003837468,-0.00676906,-0.001646041,0.003869415,0.004771828,0.000709533,-0.001343965,0.000228048,0.00200212,0.002794981,0.003481984,0.004034519,0.003918648,0.003558039,0.004228473,0.005150556,0.00508809,0.00465548,0.00484705,0.00652051,0.009328127,0.01110363,0.01127946,0.007508992,0.001174568,-0.001578093,-0.002001047,-0.001909017,-0.001711368,-0.001065493,-0.000126481,-0.000423074,-0.001009464,-0.001538038,-0.001397013,-0.000382066,0.000370383,0.000941634,0.001720071,0.003603459,0.006170511,0.006287455,0.005579114,0.008580565,0.008474466,0.001518009,-0.001568079,0.005363109,0.02014494,0.02722144,0.004391901,-0.01526689,-0.007869957,-0.003908396,-0.003657578,0.003679993,0.01147652,0.008610722,0.000974893,0.00018549,0.001645088,0.001202106,0.005841019,0.01930046,0.0282104,0.01009964,-0.01334,-0.009118553,0.001781703,0.000326633,-0.001012086,0.000803709,0.00368786,0.007658958,0.004799604,-0.003442528,-0.004303215,0.001058579,0.006901742,0.01116347,0.007235049,0.000731466,0.005762104,0.0235064,0
c,0.020662503,0,0.00936401,0.01453102,0.01344955,0.01712704,0.03828597,0.0504999,0.01655696,-0.01798046,-0.0206604,-0.02158046,-0.01367854,0.001698021,0.01086855,0.007549997,-0.003791573,-0.006614565,-0.001481531,0.003936411,0.004656075,0.00023794,-0.001371979,0.000573516,0.001991511,0.002912045,0.003517985,0.004151464,0.004065037,0.003684044,0.004370451,0.005015969,0.004918456,0.004442573,0.004594445,0.006568075,0.009299518,0.01086998,0.01082051,0.00677502,0.001321434,-0.000919104,-0.001916528,-0.002210617,-0.002063513,-0.001341104,-0.000127911,-0.000406862,-0.000936508,-0.001140475,-0.00150311,-0.000762581,0.000189424,0.000790596,0.001716614,0.003357053,0.005819441,0.006093502,0.005106926,0.008290052,0.008434055,0.001511453,-0.001965999,0.00509298,0.01994098,0.0266484,0.004761919,-0.01549399,-0.008542413,-0.003342033,-0.003494501,0.003686549,0.01234901,0.008257151,-0.000509621,-0.000457048,0.00156641,0.001952171,0.006195904,0.01838851,0.02844382,0.01043437,-0.01355982,-0.00900292,0.002143146,0.000593899,-0.000997542,0.001828432,0.003431559,0.007484914,0.005130528,-0.003859044,-0.004912136,0.000546456,0.006973984,0.01119947,0.007503983,0.000209569,0.003787043,0.02398897,0
